,Precision
Class 0,1.0
Class 1,0.8461538461538461
Class 2,0.5714285714285714
Class 3,0.6666666666666666
Class 4,0.6153846153846154
Class 5,0.4444444444444444
Class 6,0.43478260869565216
Class 7,0.5
Class 8,0.8181818181818182
Class 9,1.0
Class 10,0.5454545454545454
Class 11,0.47058823529411764
Class 12,0.75
Class 13,0.5882352941176471
Class 14,0.5625
Class 15,0.8888888888888888
Class 16,0.6666666666666666
Class 17,0.5
Class 18,0.6428571428571429
Class 21,0.9166666666666666
Class 22,0.55
Class 23,0.5454545454545454
Class 24,0.875
Class 25,0.6923076923076923
Class 26,0.8
Class 27,0.75
Class 28,0.75
Class 29,0.75
