,Precision
Class 0,0.7857142857142857
Class 1,0.7777777777777778
Class 2,0.5555555555555556
Class 3,0.6666666666666666
Class 4,0.5714285714285714
Class 5,0.45454545454545453
Class 6,0.4444444444444444
Class 7,0.5
Class 8,0.8181818181818182
Class 9,0.8181818181818182
Class 10,0.8333333333333334
Class 12,0.6923076923076923
Class 13,0.6666666666666666
Class 14,0.6666666666666666
Class 15,0.8181818181818182
Class 16,0.7692307692307693
Class 17,0.8333333333333334
Class 22,0.6
Class 23,0.7
Class 24,0.8181818181818182
Class 25,0.6153846153846154
Class 26,0.375
Class 27,0.0
Class 28,0.5555555555555556
Class 29,0.8461538461538461
Class 30,1.0
Class 31,1.0
Class 32,0.5384615384615384
Class 33,0.4666666666666667
Class 34,0.2692307692307692
Class 35,0.625
Class 36,1.0
Class 37,1.0
Class 38,1.0
Class 39,1.0
Class 40,1.0
Class 41,1.0
