Epoch 1 - Loss: 0.161, MAE: 0.429, R²: 0.647, LR: 0.001
Epoch 2 - Loss: 0.307, MAE: 0.349, R²: 0.755, LR: 0.001
Epoch 3 - Loss: 0.196, MAE: 0.348, R²: 0.767, LR: 0.001
Epoch 4 - Loss: 0.167, MAE: 0.312, R²: 0.800, LR: 0.001
Epoch 5 - Loss: 0.196, MAE: 0.322, R²: 0.796, LR: 0.001
Epoch 6 - Loss: 0.075, MAE: 0.313, R²: 0.798, LR: 0.001
Epoch 7 - Loss: 0.346, MAE: 0.311, R²: 0.801, LR: 0.001
Epoch 8 - Loss: 0.113, MAE: 0.306, R²: 0.806, LR: 0.001
Epoch 9 - Loss: 0.101, MAE: 0.303, R²: 0.807, LR: 0.001
Epoch 10 - Loss: 0.121, MAE: 0.308, R²: 0.806, LR: 0.001
Epoch 11 - Loss: 0.283, MAE: 0.298, R²: 0.811, LR: 0.001
Epoch 12 - Loss: 0.065, MAE: 0.301, R²: 0.807, LR: 0.001
Epoch 13 - Loss: 0.301, MAE: 0.312, R²: 0.792, LR: 0.001
Epoch 14 - Loss: 0.052, MAE: 0.299, R²: 0.816, LR: 0.001
Epoch 15 - Loss: 0.059, MAE: 0.297, R²: 0.807, LR: 0.001
Epoch 1 - Loss: 0.081, MAE: 0.322, R²: 0.793, LR: 0.001
Epoch 2 - Loss: 0.153, MAE: 0.301, R²: 0.816, LR: 0.001
Epoch 3 - Loss: 0.395, MAE: 0.294, R²: 0.813, LR: 0.001
Epoch 4 - Loss: 0.038, MAE: 0.301, R²: 0.805, LR: 0.001
Epoch 5 - Loss: 0.284, MAE: 0.295, R²: 0.815, LR: 0.001
Epoch 6 - Loss: 0.043, MAE: 0.304, R²: 0.804, LR: 0.001
Epoch 7 - Loss: 0.038, MAE: 0.285, R²: 0.821, LR: 0.001
Epoch 8 - Loss: 0.040, MAE: 0.277, R²: 0.829, LR: 0.001
Epoch 9 - Loss: 0.132, MAE: 0.287, R²: 0.808, LR: 0.001
Epoch 10 - Loss: 0.048, MAE: 0.284, R²: 0.810, LR: 0.001
Epoch 11 - Loss: 0.317, MAE: 0.287, R²: 0.786, LR: 0.001
Epoch 12 - Loss: 0.048, MAE: 0.283, R²: 0.798, LR: 0.001
Epoch 13 - Loss: 0.116, MAE: 0.292, R²: 0.796, LR: 0.001
Epoch 14 - Loss: 0.019, MAE: 0.286, R²: 0.798, LR: 0.001
Epoch 15 - Loss: 0.485, MAE: 0.294, R²: 0.801, LR: 0.001
Epoch 1 - Loss: 0.104, MAE: 0.297, R²: 0.803, LR: 0.001
Epoch 2 - Loss: 0.124, MAE: 0.290, R²: 0.817, LR: 0.001
Epoch 3 - Loss: 0.172, MAE: 0.271, R²: 0.838, LR: 0.001
Epoch 4 - Loss: 0.212, MAE: 0.278, R²: 0.830, LR: 0.001
Epoch 5 - Loss: 0.169, MAE: 0.279, R²: 0.828, LR: 0.001
Epoch 6 - Loss: 0.077, MAE: 0.283, R²: 0.815, LR: 0.001
Epoch 7 - Loss: 0.230, MAE: 0.281, R²: 0.813, LR: 0.001
Epoch 8 - Loss: 0.055, MAE: 0.271, R²: 0.827, LR: 0.001
Epoch 9 - Loss: 0.197, MAE: 0.273, R²: 0.832, LR: 0.001
Epoch 10 - Loss: 0.088, MAE: 0.275, R²: 0.824, LR: 0.001
Epoch 11 - Loss: 0.129, MAE: 0.266, R²: 0.838, LR: 0.001
Epoch 12 - Loss: 0.101, MAE: 0.273, R²: 0.826, LR: 0.001
Epoch 13 - Loss: 0.136, MAE: 0.272, R²: 0.825, LR: 0.001
Epoch 14 - Loss: 0.033, MAE: 0.260, R²: 0.835, LR: 0.001
Epoch 15 - Loss: 0.243, MAE: 0.263, R²: 0.824, LR: 0.001
