,Precision
Class 0,0.7777777777777778
Class 1,0.6666666666666666
Class 2,0.75
Class 3,1.0
Class 4,0.8
Class 5,0.6875
Class 6,0.6666666666666666
Class 7,0.7142857142857143
Class 8,0.6111111111111112
Class 9,0.7142857142857143
Class 10,0.5333333333333333
Class 11,0.5
Class 12,0.5
Class 13,0.8333333333333334
Class 14,0.7777777777777778
Class 15,0.7058823529411765
Class 16,1.0
Class 17,0.7692307692307693
Class 18,1.0
Class 19,1.0
Class 20,1.0
Class 21,0.8
Class 22,0.24444444444444444
Class 23,0.5714285714285714
Class 24,0.6470588235294118
Class 25,0.4
Class 26,0.4444444444444444
Class 27,0.6363636363636364
Class 28,0.7
Class 29,0.8
Class 30,1.0
Class 31,0.6666666666666666
Class 32,0.3225806451612903
Class 33,0.8
Class 34,0.27586206896551724
