,Recall
Class 0,0.75
Class 1,0.9166666666666666
Class 2,1.0
Class 3,0.16666666666666666
Class 4,0.6666666666666666
Class 5,0.3333333333333333
Class 6,0.8333333333333334
Class 7,0.16666666666666666
Class 8,0.75
Class 9,0.4166666666666667
Class 10,1.0
Class 11,0.6666666666666666
Class 12,0.5
Class 13,0.8333333333333334
Class 14,0.75
Class 15,0.6666666666666666
Class 16,0.8333333333333334
Class 17,0.75
Class 18,0.75
Class 21,0.9166666666666666
Class 22,0.9166666666666666
Class 23,0.5
Class 24,0.5833333333333334
Class 25,0.75
Class 26,0.3333333333333333
Class 27,0.25
Class 28,0.25
Class 29,0.25
