Epoch 1 - Loss: 0.107, MAE: 0.332, R²: 0.785, LR: 0.001
Epoch 2 - Loss: 0.378, MAE: 0.318, R²: 0.795, LR: 0.001
Epoch 3 - Loss: 0.363, MAE: 0.315, R²: 0.794, LR: 0.001
Epoch 4 - Loss: 0.139, MAE: 0.300, R²: 0.813, LR: 0.001
Epoch 5 - Loss: 0.163, MAE: 0.294, R²: 0.816, LR: 0.001
Epoch 6 - Loss: 0.229, MAE: 0.304, R²: 0.803, LR: 0.001
Epoch 7 - Loss: 0.100, MAE: 0.296, R²: 0.802, LR: 0.001
Epoch 8 - Loss: 0.167, MAE: 0.292, R²: 0.812, LR: 0.001
Epoch 9 - Loss: 0.104, MAE: 0.287, R²: 0.812, LR: 0.001
Epoch 10 - Loss: 0.124, MAE: 0.288, R²: 0.822, LR: 0.001
Epoch 11 - Loss: 0.102, MAE: 0.284, R²: 0.823, LR: 0.001
Epoch 12 - Loss: 0.135, MAE: 0.275, R²: 0.821, LR: 0.001
Epoch 13 - Loss: 0.214, MAE: 0.279, R²: 0.827, LR: 0.001
Epoch 14 - Loss: 0.105, MAE: 0.281, R²: 0.810, LR: 0.001
Epoch 15 - Loss: 0.062, MAE: 0.279, R²: 0.831, LR: 0.001
Epoch 16 - Loss: 0.168, MAE: 0.272, R²: 0.832, LR: 0.001
Epoch 17 - Loss: 0.134, MAE: 0.277, R²: 0.823, LR: 0.001
Epoch 18 - Loss: 0.157, MAE: 0.276, R²: 0.821, LR: 0.001
Epoch 19 - Loss: 0.135, MAE: 0.274, R²: 0.828, LR: 0.001
Epoch 20 - Loss: 0.081, MAE: 0.265, R²: 0.833, LR: 0.001
Epoch 21 - Loss: 0.054, MAE: 0.269, R²: 0.832, LR: 0.001
Epoch 22 - Loss: 0.155, MAE: 0.269, R²: 0.829, LR: 0.001
Epoch 23 - Loss: 0.067, MAE: 0.266, R²: 0.823, LR: 0.001
Epoch 24 - Loss: 0.070, MAE: 0.268, R²: 0.825, LR: 0.001
Epoch 25 - Loss: 0.099, MAE: 0.264, R²: 0.833, LR: 0.001
Epoch 26 - Loss: 0.132, MAE: 0.261, R²: 0.829, LR: 0.001
Epoch 27 - Loss: 0.122, MAE: 0.266, R²: 0.831, LR: 0.001
Epoch 28 - Loss: 0.081, MAE: 0.265, R²: 0.831, LR: 0.001
Epoch 29 - Loss: 0.166, MAE: 0.263, R²: 0.838, LR: 0.001
Epoch 30 - Loss: 0.083, MAE: 0.264, R²: 0.828, LR: 0.001
Epoch 31 - Loss: 0.214, MAE: 0.265, R²: 0.831, LR: 0.001
Epoch 32 - Loss: 0.062, MAE: 0.265, R²: 0.828, LR: 0.0002
Epoch 33 - Loss: 0.035, MAE: 0.262, R²: 0.827, LR: 0.0002
Epoch 34 - Loss: 0.145, MAE: 0.259, R²: 0.828, LR: 0.0002
Epoch 35 - Loss: 0.073, MAE: 0.261, R²: 0.830, LR: 0.0002
Epoch 36 - Loss: 0.043, MAE: 0.265, R²: 0.824, LR: 0.0002
Epoch 37 - Loss: 0.161, MAE: 0.260, R²: 0.832, LR: 0.0002
Epoch 38 - Loss: 0.135, MAE: 0.254, R²: 0.833, LR: 0.0002
Epoch 39 - Loss: 0.127, MAE: 0.256, R²: 0.828, LR: 0.0002
Epoch 40 - Loss: 0.135, MAE: 0.257, R²: 0.830, LR: 0.0002
Epoch 41 - Loss: 0.143, MAE: 0.259, R²: 0.824, LR: 0.0002
Epoch 42 - Loss: 0.171, MAE: 0.255, R²: 0.831, LR: 0.0002
Epoch 43 - Loss: 0.082, MAE: 0.259, R²: 0.821, LR: 0.0002
Epoch 44 - Loss: 0.160, MAE: 0.258, R²: 0.828, LR: 4e-05
Epoch 45 - Loss: 0.055, MAE: 0.256, R²: 0.829, LR: 4e-05
Epoch 46 - Loss: 0.236, MAE: 0.255, R²: 0.824, LR: 4e-05
Epoch 47 - Loss: 0.218, MAE: 0.258, R²: 0.829, LR: 4e-05
Epoch 48 - Loss: 0.067, MAE: 0.261, R²: 0.823, LR: 4e-05
Epoch 49 - Loss: 0.048, MAE: 0.257, R²: 0.830, LR: 4e-05
Epoch 50 - Loss: 0.145, MAE: 0.256, R²: 0.826, LR: 4e-05
