,precision,recall,f1-score,support
Class 0,0.050505050505050504,0.47619047619047616,0.091324200913242,21.0
Class 2,0.05405405405405406,0.09090909090909091,0.06779661016949154,22.0
Class 3,0.0,0.0,0.0,19.0
Class 4,0.1,0.1,0.10000000000000002,20.0
Class 6,0.11764705882352941,0.09523809523809523,0.10526315789473684,21.0
Class 7,0.0,0.0,0.0,20.0
Class 8,0.07142857142857142,0.047619047619047616,0.057142857142857134,21.0
Class 9,0.0,0.0,0.0,21.0
Class 10,0.0,0.0,0.0,21.0
Class 11,0.0,0.0,0.0,21.0
Class 12,0.1,0.19047619047619047,0.1311475409836066,21.0
Class 13,0.043478260869565216,0.047619047619047616,0.04545454545454545,21.0
Class 14,0.0,0.0,0.0,21.0
Class 15,0.07692307692307693,0.09523809523809523,0.0851063829787234,21.0
Class 16,0.0,0.0,0.0,21.0
Class 17,0.0,0.0,0.0,21.0
Class 19,0.06060606060606061,0.09523809523809523,0.07407407407407407,21.0
Class 20,0.0,0.0,0.0,20.0
Class 21,0.0,0.0,0.0,21.0
Class 22,0.0,0.0,0.0,21.0
Class 23,0.017857142857142856,0.05,0.026315789473684206,20.0
Class 24,0.0,0.0,0.0,20.0
Class 25,0.0,0.0,0.0,21.0
Class 26,0.0,0.0,0.0,21.0
Class 27,0.14285714285714285,0.05263157894736842,0.07692307692307693,19.0
Class 28,0.08333333333333333,0.09090909090909091,0.08695652173913043,22.0
Class 29,0.05714285714285714,0.2,0.08888888888888888,20.0
Class 30,0.25,0.047619047619047616,0.08,21.0
Class 31,0.125,0.14285714285714285,0.13333333333333333,21.0
Class 32,0.0,0.0,0.0,21.0
Class 33,0.07317073170731707,0.14285714285714285,0.0967741935483871,21.0
Class 34,0.07246376811594203,0.23809523809523808,0.11111111111111112,21.0
Class 35,0.0,0.0,0.0,20.0
Class 36,0.1111111111111111,0.05,0.06896551724137932,20.0
Class 37,0.0,0.0,0.0,22.0
Class 38,0.14285714285714285,0.09523809523809523,0.11428571428571427,21.0
Class 39,0.07692307692307693,0.047619047619047616,0.058823529411764705,21.0
Class 40,0.125,0.047619047619047616,0.06896551724137931,21.0
Class 41,0.0,0.0,0.0,21.0
Class 42,0.12,0.14285714285714285,0.13043478260869565,21.0
Class 43,0.10526315789473684,0.38095238095238093,0.16494845360824742,21.0
Class 44,0.25,0.047619047619047616,0.08,21.0
Class 45,0.14285714285714285,0.047619047619047616,0.07142857142857142,21.0
Class 46,0.0,0.0,0.0,21.0
Class 47,0.09523809523809523,0.19047619047619047,0.12698412698412698,21.0
Class 48,0.0,0.0,0.0,21.0
Class 49,0.0,0.0,0.0,21.0
Class 50,0.0,0.0,0.0,21.0
Class 51,0.14285714285714285,0.19047619047619047,0.16326530612244897,21.0
Class 52,0.04081632653061224,0.09523809523809523,0.05714285714285714,21.0
Class 53,0.1,0.047619047619047616,0.06451612903225806,21.0
Class 54,0.0,0.0,0.0,21.0
Class 55,0.09375,0.14285714285714285,0.11320754716981132,21.0
Class 56,0.0,0.0,0.0,21.0
Class 57,0.1794871794871795,0.3684210526315789,0.2413793103448276,19.0
Class 58,0.15384615384615385,0.09523809523809523,0.11764705882352941,21.0
Class 59,0.06060606060606061,0.09523809523809523,0.07407407407407407,21.0
Class 60,0.6666666666666666,0.1,0.1739130434782609,20.0
Class 61,0.07692307692307693,0.047619047619047616,0.058823529411764705,21.0
Class 62,0.09090909090909091,0.09523809523809523,0.09302325581395349,21.0
Class 63,0.125,0.19047619047619047,0.1509433962264151,21.0
Class 64,0.03125,0.047619047619047616,0.03773584905660377,21.0
Class 65,0.16666666666666666,0.05,0.07692307692307691,20.0
Class 66,0.05263157894736842,0.045454545454545456,0.04878048780487805,22.0
Class 67,0.0,0.0,0.0,21.0
Class 68,0.0,0.0,0.0,21.0
Class 69,0.03571428571428571,0.047619047619047616,0.04081632653061224,21.0
Class 70,0.25,0.047619047619047616,0.08,21.0
Class 71,0.0,0.0,0.0,21.0
Class 72,0.07142857142857142,0.09523809523809523,0.08163265306122448,21.0
Class 73,0.07246376811594203,0.23809523809523808,0.11111111111111112,21.0
Class 74,0.0,0.0,0.0,21.0
Class 75,0.0,0.0,0.0,21.0
Class 76,0.0,0.0,0.0,21.0
Class 77,0.0,0.0,0.0,22.0
Class 79,0.1,0.047619047619047616,0.06451612903225806,21.0
Class 80,0.0,0.0,0.0,21.0
Class 81,0.0,0.0,0.0,21.0
Class 82,0.0,0.0,0.0,21.0
Class 83,0.1111111111111111,0.047619047619047616,0.06666666666666667,21.0
Class 84,0.05263157894736842,0.14285714285714285,0.07692307692307693,21.0
Class 85,0.0375,0.14285714285714285,0.059405940594059396,21.0
Class 86,0.04918032786885246,0.14285714285714285,0.07317073170731707,21.0
Class 87,0.044444444444444446,0.09523809523809523,0.06060606060606061,21.0
Class 88,0.0,0.0,0.0,18.0
Class 89,0.0,0.0,0.0,21.0
Class 90,0.0,0.0,0.0,21.0
Class 91,0.0,0.0,0.0,21.0
Class 92,0.05,0.09523809523809523,0.0655737704918033,21.0
Class 93,0.08888888888888889,0.19047619047619047,0.12121212121212122,21.0
Class 94,0.0,0.0,0.0,21.0
Class 95,0.0,0.0,0.0,21.0
Class 96,0.012195121951219513,0.047619047619047616,0.01941747572815534,21.0
Class 97,0.0,0.0,0.0,21.0
Class 99,0.0,0.0,0.0,21.0
Class 100,0.0,0.0,0.0,21.0
Class 101,0.125,0.047619047619047616,0.06896551724137931,21.0
Class 102,0.0,0.0,0.0,21.0
Class 103,0.03076923076923077,0.09523809523809523,0.046511627906976744,21.0
Class 104,0.05555555555555555,0.045454545454545456,0.049999999999999996,22.0
Class 105,0.0,0.0,0.0,21.0
Class 106,0.041666666666666664,0.047619047619047616,0.044444444444444446,21.0
Class 107,0.0,0.0,0.0,21.0
Class 108,0.125,0.047619047619047616,0.06896551724137931,21.0
Class 109,0.0,0.0,0.0,21.0
Class 110,0.0,0.0,0.0,22.0
Class 111,0.0,0.0,0.0,21.0
Class 112,0.5,0.047619047619047616,0.08695652173913042,21.0
Class 113,0.1,0.047619047619047616,0.06451612903225806,21.0
Class 114,0.0,0.0,0.0,21.0
Class 115,0.0,0.0,0.0,21.0
Class 116,0.0,0.0,0.0,21.0
Class 118,0.0,0.0,0.0,19.0
Class 119,0.0,0.0,0.0,20.0
Class 120,0.06306306306306306,0.3333333333333333,0.10606060606060606,21.0
Class 121,0.0,0.0,0.0,21.0
Class 123,0.0,0.0,0.0,21.0
Class 124,0.0,0.0,0.0,21.0
Class 125,0.046153846153846156,0.14285714285714285,0.06976744186046512,21.0
Class 126,0.0,0.0,0.0,21.0
Class 129,0.0,0.0,0.0,21.0
Class 130,0.0,0.0,0.0,21.0
Class 131,0.0,0.0,0.0,21.0
Class 132,0.08333333333333333,0.047619047619047616,0.060606060606060615,21.0
Class 133,0.0,0.0,0.0,21.0
Class 134,0.0,0.0,0.0,21.0
Class 135,0.0,0.0,0.0,21.0
Class 136,0.0,0.0,0.0,21.0
Class 137,0.0,0.0,0.0,21.0
Class 138,0.0,0.0,0.0,21.0
Class 139,0.1111111111111111,0.047619047619047616,0.06666666666666667,21.0
Class 140,0.046153846153846156,0.2857142857142857,0.07947019867549669,21.0
Class 141,0.0,0.0,0.0,21.0
Class 142,0.01910828025477707,0.14285714285714285,0.033707865168539325,21.0
Class 143,0.0,0.0,0.0,21.0
Class 145,0.0,0.0,0.0,21.0
Class 148,0.0,0.0,0.0,21.0
Class 150,0.0,0.0,0.0,21.0
Class 151,0.03333333333333333,0.045454545454545456,0.03846153846153846,22.0
Class 152,0.0,0.0,0.0,21.0
Class 153,0.0,0.0,0.0,21.0
Class 154,0.14285714285714285,0.047619047619047616,0.07142857142857142,21.0
Class 155,0.0,0.0,0.0,21.0
Class 156,0.0,0.0,0.0,21.0
Class 157,0.0,0.0,0.0,21.0
Class 158,0.09523809523809523,0.09523809523809523,0.09523809523809523,21.0
Class 159,0.041237113402061855,0.19047619047619047,0.06779661016949153,21.0
Class 160,0.05128205128205128,0.09523809523809523,0.06666666666666667,21.0
Class 161,0.0,0.0,0.0,21.0
Class 162,0.0,0.0,0.0,21.0
Class 164,0.0196078431372549,0.047619047619047616,0.027777777777777776,21.0
Class 165,0.0,0.0,0.0,21.0
Class 166,0.0,0.0,0.0,21.0
Class 167,0.043478260869565216,0.047619047619047616,0.04545454545454545,21.0
Class 168,0.0,0.0,0.0,21.0
Class 169,0.14285714285714285,0.09523809523809523,0.11428571428571427,21.0
Class 170,0.0,0.0,0.0,21.0
Class 171,0.14285714285714285,0.14285714285714285,0.14285714285714285,21.0
Class 172,0.0,0.0,0.0,19.0
Class 173,0.0,0.0,0.0,21.0
Class 174,0.07692307692307693,0.047619047619047616,0.058823529411764705,21.0
