,Recall
Class 0,0.6666666666666666
Class 1,0.8333333333333334
Class 2,0.5833333333333334
Class 3,0.25
Class 4,0.08333333333333333
Class 5,1.0
Class 6,0.3333333333333333
Class 7,0.25
Class 8,0.75
Class 9,0.5833333333333334
Class 10,0.75
Class 11,0.8333333333333334
Class 12,0.4166666666666667
Class 13,0.5
Class 14,0.75
Class 15,0.9166666666666666
Class 16,0.6666666666666666
Class 17,0.4166666666666667
Class 18,0.6666666666666666
Class 19,0.25
Class 20,0.3333333333333333
Class 21,0.9166666666666666
Class 22,0.5
Class 23,0.8333333333333334
Class 24,0.9166666666666666
Class 25,0.5
Class 26,0.4166666666666667
Class 28,0.5833333333333334
Class 29,1.0
Class 30,0.25
Class 31,0.25
Class 32,1.0
Class 33,0.25
Class 34,0.8333333333333334
