,Recall
Class 9,0.0
Class 11,0.0
Class 12,0.0
Class 15,0.14285714285714285
Class 16,0.0
Class 18,0.0
Class 19,0.0
Class 20,0.14285714285714285
Class 21,0.14285714285714285
Class 22,0.0
Class 24,0.2857142857142857
Class 25,0.0
Class 26,0.14285714285714285
Class 27,0.14285714285714285
Class 29,0.0
Class 30,0.0
Class 31,0.0
Class 32,0.0
Class 33,0.3333333333333333
Class 34,0.0
Class 35,0.5
Class 38,0.0
Class 42,0.0
Class 43,0.3333333333333333
Class 44,0.0
Class 46,0.0
Class 47,0.3333333333333333
Class 48,0.16666666666666666
Class 49,0.0
Class 51,0.0
Class 54,0.16666666666666666
Class 57,0.16666666666666666
Class 59,0.3333333333333333
Class 60,0.4
Class 61,0.16666666666666666
Class 62,0.16666666666666666
Class 64,0.0
Class 65,0.16666666666666666
Class 69,0.16666666666666666
Class 70,0.16666666666666666
Class 73,0.16666666666666666
Class 75,0.0
Class 76,0.16666666666666666
Class 78,0.0
Class 79,0.0
Class 80,0.16666666666666666
Class 82,0.5714285714285714
Class 83,0.0
Class 85,0.0
Class 86,0.2857142857142857
Class 87,0.0
Class 88,0.2857142857142857
Class 92,0.0
Class 94,0.0
Class 96,0.7142857142857143
Class 97,0.14285714285714285
Class 98,0.0
Class 99,0.5714285714285714
Class 101,0.0
Class 102,0.14285714285714285
Class 103,0.0
Class 104,0.0
Class 107,0.14285714285714285
Class 108,0.14285714285714285
Class 109,0.0
Class 110,0.14285714285714285
Class 113,0.14285714285714285
Class 115,0.2857142857142857
Class 119,0.0
Class 120,0.0
Class 122,0.0
Class 123,0.0
Class 124,0.16666666666666666
Class 125,0.0
Class 126,0.14285714285714285
Class 127,0.0
Class 128,0.14285714285714285
