,Precision
Class 0,0.0425531914893617
Class 1,0.25
Class 2,0.17647058823529413
Class 3,1.0
Class 4,0.1111111111111111
Class 5,0.0
Class 6,0.1
Class 7,0.07142857142857142
Class 8,0.16666666666666666
Class 9,0.0
Class 10,0.1
Class 11,0.3333333333333333
Class 12,0.0
Class 13,0.0
Class 14,0.0
Class 15,0.2631578947368421
Class 16,0.16666666666666666
Class 17,0.1
Class 18,0.125
Class 19,0.14285714285714285
Class 20,0.07142857142857142
Class 21,0.0
Class 22,0.0
Class 23,0.030303030303030304
Class 24,0.0
Class 26,0.17647058823529413
Class 27,0.0
Class 28,0.0
Class 29,0.2
Class 30,0.0
Class 31,0.2
Class 32,0.25
Class 33,0.18181818181818182
Class 34,0.14285714285714285
Class 35,0.3333333333333333
Class 36,0.25
Class 37,0.2857142857142857
Class 39,0.23076923076923078
Class 40,0.3333333333333333
Class 41,0.2
Class 42,0.16
Class 44,0.23529411764705882
Class 45,0.16666666666666666
Class 46,0.0
Class 47,0.16666666666666666
Class 49,0.17647058823529413
Class 50,0.0
Class 51,0.1111111111111111
Class 52,0.0
Class 53,0.25
Class 54,0.2
Class 55,0.225
Class 56,0.13333333333333333
Class 57,0.25
Class 58,0.2
Class 59,0.13636363636363635
Class 60,0.25
Class 61,0.2222222222222222
Class 62,0.3333333333333333
Class 63,0.3333333333333333
Class 64,0.2857142857142857
Class 65,0.2
Class 66,0.17391304347826086
Class 67,0.2
Class 68,0.20833333333333334
Class 69,0.3333333333333333
Class 70,0.16666666666666666
Class 71,0.0
Class 72,0.23529411764705882
Class 73,0.2
Class 74,0.0
Class 75,0.16666666666666666
Class 76,0.18181818181818182
Class 79,0.3333333333333333
Class 80,0.20512820512820512
Class 81,0.25
Class 82,0.16666666666666666
Class 83,0.0
Class 84,0.09090909090909091
Class 85,0.1
Class 86,0.3333333333333333
Class 87,0.2
Class 88,0.1111111111111111
Class 89,0.5
Class 90,0.0
Class 91,0.14285714285714285
Class 92,0.24
Class 93,0.3
Class 94,0.0
Class 95,0.3
Class 96,0.23076923076923078
Class 97,0.18181818181818182
Class 98,0.0
Class 99,0.2727272727272727
Class 100,0.4
Class 101,0.2727272727272727
Class 103,0.25
Class 104,0.15789473684210525
Class 106,0.2
Class 107,0.14285714285714285
Class 108,0.2
Class 109,0.0
Class 110,0.1935483870967742
Class 111,0.14814814814814814
Class 113,0.1111111111111111
Class 114,0.3333333333333333
Class 115,0.19444444444444445
Class 116,0.09090909090909091
Class 118,0.125
Class 120,0.2857142857142857
Class 122,0.21739130434782608
Class 123,0.25
Class 124,0.15384615384615385
Class 125,0.0
Class 126,0.16666666666666666
Class 127,0.25
Class 128,0.07692307692307693
